file_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
0,3.1268320000000003,-1.895752,0.2508444383561643,3.5852049999999998,-1.8862299999999999,0.28985093835616443,1.1861570000000001,-1.072998,0.044217034246575346,163.08594100000002,-146.911621,-0.659263493150685,81.54296799999999,-80.62744099999999,1.3912674520547947,155.151363,-166.137695,-10.790682061643837,falling
1,3.423706,-2.276977,0.12726917123287673,2.594971,-1.818238,0.2637596780821918,2.3372800000000002,-1.878173,0.12357528767123291,501.34290300000004,-511.963013,2.501187657534247,135.43701199999998,-127.31933599999999,4.3803182397260265,136.352532,-168.457031,-18.88244093835616,falling
2,2.795532,-2.049805,0.19872458219178082,3.341431,-4.025634999999999,-0.13450643835616438,2.8037110000000003,-3.561401,-0.209563,765.320068,-803.2229,-1.5505438356164432,159.545898,-149.047848,0.7403649383561631,223.388733,-264.709533,-2.277113349315068,falling
3,3.056641,-1.8218999999999999,0.2816028150684931,2.874634,-1.550293,0.28544390410958903,1.8345939999999998,-1.809448,-0.011176924657534245,218.444883,-233.459548,0.8582548424657533,232.910217,-249.08453699999998,-2.588978034246576,161.071775,-169.18945300000001,-5.4321293698630155,falling
4,3.396485,-2.5130619999999997,0.20055486301369863,3.4046629999999998,-3.289795,-0.14265755479452055,2.7718510000000003,-3.760865,-0.254040897260274,711.6701660000001,-807.983643,-0.014631616438358435,344.726562,-329.406738,0.0685600068493168,218.750061,-244.140694,-0.06688795890411008,falling
5,2.681152,-1.467407,0.29581065753424657,3.1977539999999998,-2.726441,0.25331515753424655,1.449829,-1.890747,0.001693123287671225,1019.531495,-929.504631,1.0806569315068435,250.061096,-296.50885,-2.960623390410961,166.870117,-210.571304,-2.959787376712328,falling
6,2.028687,-1.331299,0.17948687671232882,2.2437739999999997,-3.382812,-0.3281425479452055,2.7093510000000003,-2.1850590000000003,0.14226710273972604,688.476562,-756.3476559999999,2.329369369863012,242.431701,-211.608948,0.020484363013698947,153.01513699999998,-115.356476,2.4480955684931507,falling
7,2.435181,-1.423706,0.2972177808219178,2.839599,-1.9547120000000002,0.21763796575342464,1.1153559999999998,-0.8956299999999999,0.07855139726027398,278.86962900000003,-258.056641,-1.744518773972603,198.181214,-188.90386999999998,-0.18644998630136872,100.769035,-133.300781,-1.3912672808219182,falling
8,1.798462,-1.102173,0.1931720890410959,2.256104,-2.251587,-0.12423581506849317,1.264526,-2.76355,-0.2585967328767124,1016.2966299999999,-1017.273193,0.4928799589041067,294.677734,-317.93212900000003,0.44480415068493095,695.800788,-670.6542959999999,1.7507892945205479,falling
9,1.848023,-1.210205,0.18164810273972604,1.5087890000000002,-2.515991,-0.27123189726027397,1.608765,-1.5870360000000001,-0.021639061643835614,574.2797850000001,-617.309571,0.7119373698630145,272.09472700000003,-284.362797,-1.0660251438356159,196.044983,-180.053772,1.0923623904109574,falling
10,2.3792720000000003,-1.265381,0.291320794520548,2.224121,-1.422486,0.1475445547945206,1.048584,-0.979614,0.0351236301369863,283.630432,-258.666992,3.893709232876712,116.088898,-105.651882,-2.4271931917808214,107.971222,-174.682663,2.641234054794521,falling
11,2.0777590000000004,-1.068481,0.15829928082191783,3.005249,-1.0340570000000002,0.39774016438356163,2.351074,-1.002441,0.1720338698630137,728.821045,-801.269562,11.5051310890411,282.653809,-273.376466,-4.510749253424657,209.350632,-254.21148699999998,-20.210580965753426,falling
12,3.836792,-3.135498,0.20060917123287672,3.4106449999999997,-4.4145509999999994,-0.2794991712328767,2.925415,-3.443726,-0.13557995890410962,714.294677,-728.149659,0.2654612054794498,192.565978,-182.80035,0.8314996917808227,214.84381100000002,-243.652412,-2.8602917397260295,falling
13,4.055542,-2.995606,0.29337759589041096,2.923096,-2.6048590000000003,-0.01072547260273972,1.657714,-1.280273,0.24548755479452056,502.31946500000004,-482.36096200000003,0.8281552602739725,212.21929899999998,-207.519592,1.8582280068493167,142.883301,-168.09082,0.13921028082191472,falling
14,3.12207,-2.3548579999999997,0.2175042328767123,2.04248,-2.743896,-0.24942558219178085,1.8479009999999998,-2.632935,-0.15314388356164385,761.352785,-754.272705,4.642434308219181,237.67096,-216.735894,-1.4552288630136982,174.133361,-208.55719000000002,-0.4983145,falling
15,2.913574,-1.707397,0.29088937671232873,3.063477,-2.263062,0.27564727397260275,2.167602,-1.9743660000000003,0.03324408904109588,613.342278,-641.052246,-0.21989358904109593,180.419983,-165.893612,3.2394620958904117,225.585999,-265.25885,-5.961798171232875,falling
16,3.576294,-2.727295,0.2243919589041096,2.763916,-4.000122,-0.1961820479452055,3.5310059999999996,-4.006348,-0.17176709589041098,846.435791,-907.2878410000001,0.5033314041095901,290.283264,-240.35650299999998,2.6955803904109583,186.645561,-206.11572199999998,-2.5258524726027383,falling
17,2.491455,-1.2681879999999999,0.3118871369863013,3.612305,-2.475586,0.2932271095890411,2.3826899999999998,-2.354615,-0.0006061986301369837,544.25064,-536.193985,-9.817046390410955,250.183166,-254.33355699999998,-2.361559397260274,160.40039,-198.181168,-2.5450828561643832,falling
18,2.373779,-1.534912,0.21874495890410955,2.182373,-2.741699,-0.26370032191780823,4.329712,-3.938599,-0.1334805616438356,807.800507,-918.579346,0.4636164863013619,200.134339,-188.049374,-0.01588595890411105,276.550293,-302.734383,-1.0835832054794516,falling
19,3.416748,-2.674926,0.20654130821917813,2.034302,-2.653442,-0.2992654178082192,1.868652,-2.2727049999999998,-0.07650047260273973,906.616455,-907.593017,-0.01964830136986027,338.989258,-338.623047,0.051420068493150076,153.50341799999998,-214.05030799999997,-0.023828726027400764,falling
20,1.6992180000000001,-0.937988,0.21511466438356167,2.076782,-2.748902,-0.21038401369863013,1.5361330000000002,-2.483642,-0.2177366575342466,821.2893059999999,-822.9372559999999,-0.023828794520546606,203.430237,-205.749573,-0.018812164383561675,163.085938,-201.538086,-0.12499667123288044,falling
21,1.839477,-0.9976809999999999,0.21589223287671233,2.4552,-3.0080560000000003,-0.2298399931506849,1.451782,-2.1027839999999998,-0.21850169178082196,517.028808,-534.423832,-0.17265421232876751,176.635743,-176.452637,-0.3950563904109595,202.026429,-202.20953400000002,-0.06981420547945257,falling
