file_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
0,1.859864,-0.9598390000000001,0.26311001369863013,2.576538,-1.6262210000000001,0.22334690410958905,1.1900629999999999,-1.720825,-0.15476927397260273,1242.6757819999998,-1229.6142579999998,4.635328205479453,249.267637,-252.13629,-8.680789952054795,495.483519,-497.802857,-9.80868576027397,falling
1,1.69934,-0.7016600000000001,0.1469208150684931,2.631958,-1.635498,0.23018947260273975,1.485962,-2.05835,-0.09938529452054795,792.785889,-814.7585449999999,13.217039342465755,329.834099,-357.97131399999995,-15.009215280821916,281.127923,-304.138184,-13.982905815068493,falling
2,2.7678220000000002,-1.678833,0.32171049315068495,4.477417,-4.927734,-0.1691083904109589,2.680664,-2.6081540000000003,0.0404805890410959,724.731689,-742.126709,-0.4761577534246461,413.269161,-425.842407,-2.4618910616438328,622.4975589999999,-643.3105469999999,-3.7912870547945223,falling
3,1.850708,-0.795532,0.2554906232876712,3.1016839999999997,-2.147339,0.27295673972602746,2.5012209999999997,-3.294311,-0.15301683561643836,514.343262,-512.939453,4.697199595890412,430.72522000000004,-433.899048,-7.3576635890410955,266.906738,-267.822266,-1.3122561164383564,falling
4,3.526612,-2.359375,0.33688984246575343,3.644043,-4.187866,-0.20356899315068494,2.7773440000000003,-2.808716,0.04842596575342464,1626.4042969999998,-1630.554688,0.011705301369863875,547.0581060000001,-549.987793,-0.025919150684931953,336.364853,-383.361939,-0.08026546575342763,falling
5,1.380738,-0.41565,0.2556403219178082,2.871582,-1.5372310000000002,0.27820578082191777,2.820557,-3.01416,-0.1289179589041096,1587.036621,-1600.830565,4.834737890410956,505.43212900000003,-524.230957,-4.522454705479448,460.87658700000003,-467.041137,1.9953485273972578,falling
6,2.279663,-1.8573,0.12567804109589042,3.361084,-3.001953,0.09256025342465754,2.645508,-1.474732,0.3879010068493151,231.384334,-311.76767,0.28218307534246506,255.24908399999998,-225.891167,3.844797280821918,329.345704,-338.745118,2.0024551438356175,falling
7,1.639283,-0.839356,0.24418913698630137,2.815918,-1.9436039999999997,0.2965121438356164,2.3544920000000005,-2.6553950000000004,-0.10557077397260275,665.466324,-610.3515629999999,-1.6696879863013676,170.71533200000002,-191.406251,-2.6475049383561644,561.706543,-566.1621100000001,-1.3858327945205489,falling
8,1.610229,-0.44445799999999996,0.29261172602739727,1.523071,-2.398559,-0.21833195205479453,3.1740720000000002,-2.7827149999999996,0.11414498630136988,647.8271490000001,-626.403809,0.40550780821917687,661.987305,-648.437496,2.2959256643835624,204.956116,-176.696831,0.6651159520547948,falling
9,1.654908,-1.104492,0.1790729383561644,1.351807,-1.309937,-0.029017609589041093,2.9470210000000003,-1.818603,0.340009294520548,799.133537,-829.651123,0.6692966986301369,282.226562,-279.418944,1.0447046643835616,535.766606,-521.1181650000001,2.0551293630136986,falling
10,1.826538,-0.804199,0.29834822602739725,2.698975,-2.11792,0.20139012328767122,2.2084960000000002,-2.667358,-0.13848205479452055,274.414124,-254.882874,3.210617397260274,182.373107,-201.17193600000002,4.945938773972602,409.42395,-422.912723,4.214770938356163,falling
11,2.186401,-1.316406,0.2077411164383562,4.298462,-2.855591,0.2526596095890411,2.1491700000000002,-2.963257,-0.23519519863013696,1169.128418,-1258.911164,26.78649870547946,735.595947,-774.2312009999999,-13.88173795890411,706.970459,-706.90918,0.24246862328766733,falling
12,1.524902,-0.6060789999999999,0.2742543424657534,2.534668,-3.765015,-0.31140890410958905,1.857055,-1.6627189999999998,0.08093759589041095,1082.27539,-1047.851562,1.618267897260273,215.087951,-218.689026,-0.35032504109589063,716.736084,-727.844482,-3.139966746575351,falling
13,1.959595,-1.132934,0.21746658904109586,2.119263,-1.5655520000000003,0.18646741095890412,1.732666,-1.0581049999999999,0.31168648630136986,938.293701,-928.894287,1.1571599178082206,186.096252,-182.006897,2.064326287671232,744.3239669999999,-770.630127,-0.844877136986301,falling
14,2.613037,-1.6842039999999998,0.2764156780821918,3.031982,-4.062744,-0.29710745890410956,2.048096,-1.913819,0.08526024657534247,656.921387,-636.47461,1.969010794520546,187.316956,-192.44390900000002,-0.9845054383561648,341.91906700000004,-374.694946,1.01209652739726,falling
15,2.953614,-1.838379,0.34836942465753423,3.716187,-2.74878,0.22118054109589044,2.5238039999999997,-2.7197259999999996,-0.052687589041095884,1196.166992,-1196.105957,2.7775180890411,105.16360399999999,-118.652378,-1.54260095890411,695.3737789999999,-713.379151,-8.323356945205482,falling
16,2.243897,-1.294556,0.26997521232876714,3.404542,-4.5697030000000005,-0.29016197260273974,3.27124,-2.9061280000000003,0.07678725342465753,1383.972168,-1344.4213869999999,0.013377246575351843,222.595276,-210.815491,0.7065030958904107,947.693108,-953.064209,-6.211791664383562,falling
17,2.1673590000000003,-1.0675050000000001,0.36043523287671236,1.983887,-1.2611080000000001,0.22826983561643832,2.654663,-2.7874760000000003,-0.0861648904109589,555.2369689999999,-543.274063,-9.911943143835614,688.415527,-705.2612300000001,-7.0721358287671245,624.084472,-648.9868240000001,-4.449296657534244,falling
18,2.697388,-1.7528080000000001,0.2780803561643836,2.859619,-3.832153,-0.29809656164383563,3.292237,-2.9089359999999997,0.07024982191780822,1199.951173,-1197.448731,0.7575048767123307,167.480469,-168.457031,-0.32064358904109624,410.03429400000005,-441.65051300000005,-1.6145054041095908,falling
19,4.0992429999999995,-3.1595459999999997,0.2610983561643836,3.888061,-4.533081,-0.2896093424657534,2.144775,-1.596069,0.15562793835616437,1136.535652,-1108.947754,0.0029263219178088324,188.842835,-190.185608,0.02968157534246607,365.051384,-388.488892,0.04723955479452443,falling
20,2.905274,-1.786743,0.33236233561643835,2.6156,-3.6199950000000003,-0.2510585205479452,1.963989,-2.283447,-0.036849342465753436,777.038818,-737.854248,0.05142000684931539,113.15921,-122.98587,-0.1270869109589041,400.451778,-415.161254,-0.13084939726026937,falling
21,3.545776,-2.5157469999999997,0.29439010273972605,1.3288579999999999,-2.314209,-0.2875282534246575,1.756958,-2.459595,-0.017383315068493155,1339.4775379999999,-1340.393067,0.06897811643836439,200.805726,-200.50054999999998,-0.4611081369863027,336.73095700000005,-334.167481,0.09280685616438747,falling
