diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
84,0.025146,-0.0268549999999999,-0.000742775,0.1135249999999999,-0.142822,-0.0050005899999999,0.150024,-0.087403,0.00198669,3.112794,-3.051759,-0.0418090749999999,3.112793,-3.173828,0.0320434199999999,6.164551,-4.15039,0.14068612,riding
85,0.025146,-0.0268549999999999,-0.0001782199999999,0.1135249999999999,-0.142822,-0.00111939,0.150024,-0.087403,-0.0001123199999999,3.112794,-3.051759,0.00061033,3.112793,-3.173828,0.14068604,6.164551,-4.15039,0.204772995,riding
86,0.0208739999999999,-0.0167229999999999,0.0003314349999999,0.107666,-0.0870359999999999,0.004078975,0.085083,-0.087403,-0.0047937,3.112794,-2.502442,0.0091552999999999,3.112793,-3.173828,0.14099126,3.967286,-3.356934,0.0894164949999999,riding
87,0.0183099999999999,-0.013062,0.0003759749999999,0.101806,-0.0687249999999999,0.0039727849999999,0.085083,-0.087403,-0.00566223,2.2583,-1.831054,0.0180053599999999,3.112793,-3.173828,-0.0204467599999999,2.929688,-3.356934,-0.14343263,riding
88,0.012695,-0.013062,-0.000313135,0.078492,-0.0687249999999999,-0.00062135,0.071655,-0.072754,-0.0033306649999999,2.2583,-1.831054,0.0115966849999999,2.868653,-2.563478,-0.10223393,2.502441,-2.136231,0.0274657949999999,riding
89,0.023926,-0.0191650000000001,0.0009991449999999,0.130493,-0.0994869999999999,0.00592103,0.071655,-0.072754,0.003070675,1.770021,-2.807618,-0.09399416,2.868653,-2.563478,-0.31494139,4.2114270000000005,-2.136231,0.4534912849999999,riding
90,0.034302,-0.0191650000000001,0.002949195,0.177002,-0.0994869999999999,0.01416016,0.0838619999999999,-0.043945,0.010656145,1.77002,-4.211426,-0.14495851,1.464844,-2.319337,-0.1574707199999999,4.2114270000000005,-3.845215,0.0726318599999999,riding
91,0.034302,-0.0191650000000001,0.00259399,0.177002,-0.0994869999999999,0.012662955,0.0838619999999999,-0.043945,0.00883302,2.990723,-4.211426,0.031127915,1.464844,-2.197267,0.0729369749999999,4.2114270000000005,-3.845215,-0.2532959699999999,riding
92,0.034302,-0.0191650000000001,0.00159546,0.177002,-0.0994869999999999,0.007908945,0.0838619999999999,-0.043945,0.007246695,2.990723,-4.211426,-0.0207519499999999,1.464844,-2.197267,0.07110601,4.2114270000000005,-3.845215,-0.1550293249999999,riding
93,0.034302,-0.0175779999999999,-0.0002533099999999,0.177002,-0.086914,-0.0024804799999999,0.0838619999999999,-0.035889,0.0052575849999999,2.990723,-4.211426,0.052490265,2.014161,-1.098633,0.30120849,3.78418,-3.845215,-0.3149414649999999,riding
94,0.04834,-0.0175779999999999,0.00080689,0.241821,-0.086914,0.0045428249999999,0.06372,-0.088745,-0.00619935,7.934573,-3.2958990000000004,0.276184115,2.014161,-1.89209,0.24566651,6.530762,-4.577638,0.3762817900000001,riding
95,0.04834,-0.039307,-6.652999999999854e-05,0.241821,-0.201293,-6.590499999999943e-05,0.081299,-0.088745,-0.0032244849999999,7.934573,-6.652834,0.0097656349999999,2.014161,-3.4179690000000003,-0.139160145,6.530762,-8.972168,-0.2291870299999999,riding
96,0.04834,-0.039307,0.0006958,0.241821,-0.201293,0.00449891,0.081299,-0.088745,-0.0028387649999999,7.934573,-6.652834,0.0424194249999999,2.075196,-3.4179690000000003,0.0427246199999999,6.530762,-8.972168,0.1473999300000001,riding
97,0.04834,-0.039307,0.00114198,0.241821,-0.201293,0.007865,0.081299,-0.088745,-0.00599674,7.934573,-6.652834,0.0613403099999999,2.075196,-3.4179690000000003,-0.0701904499999999,6.530762,-8.972168,-0.1425171199999999,riding
98,0.0252689999999999,-0.039307,-0.001918315,0.136475,-0.201293,-0.008546145,0.081299,-0.057373,-4.394999999999982e-05,3.2958990000000004,-6.652834,-0.08056643,2.075196,-3.4179690000000003,-0.13946533,3.78418,-8.972168,-0.5657959850000001,riding
99,0.0268549999999999,-0.022827,-0.00123839,0.1252439999999999,-0.1235349999999999,-0.00646668,0.063965,-0.048462,-7.339999999999014e-06,2.319337,-2.685548,-0.11047363,2.075196,-1.5258789999999998,-0.03631591,6.225587,-4.333495999999999,0.5618287300000001,riding
100,0.0268549999999999,-0.022827,0.0002008099999999,0.1252439999999999,-0.1235349999999999,0.00041076,0.0603029999999999,-0.048462,0.001759035,2.319337,-2.441407,0.00396729,1.4648439999999998,-1.5258789999999998,-0.0173950399999999,6.225587,-4.333495999999999,-0.0732422399999999,riding
101,0.0268549999999999,-0.022827,-0.000233755,0.1252439999999999,-0.1235349999999999,-0.00245118,0.13623,-0.139648,0.0022131399999999,2.685547,-2.441407,0.100402865,3.845215000000001,-3.784179,0.1074219299999999,6.225587,-4.333495999999999,-0.0173949749999999,riding
