diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
105,0.028687,-0.018677,3.0450000000004083e-06,0.0556639999999999,-0.071777,-0.00458434,0.0448,-0.064331,0.00088198,3.234864,-2.380371,-0.04638672,3.78418,-5.004883,0.0741576999999999,3.4790030000000005,-3.540039,0.1449584949999999,riding
106,0.015259,-0.018677,-0.001796265,0.059204,-0.0610349999999999,-0.0035235699999999,0.0593259999999999,-0.0510249999999999,0.0053979549999999,3.78418,-5.065919,0.109863315,2.746582,-3.601074,-0.14312744,2.990723,-3.479005,-0.0906371749999999,riding
107,0.015259,-0.01831,-0.0010284149999999,0.059204,-0.0610349999999999,-0.002462125,0.0593259999999999,-0.0510249999999999,0.003409445,3.78418,-5.065919,-0.0415039149999999,2.746582,-2.929688,0.0064086749999999,3.234864,-3.479005,0.1876831349999999,riding
108,0.015259,-0.01831,-0.0011462449999999,0.059814,-0.0610349999999999,-0.00062381,0.0593259999999999,-0.0510249999999999,0.0030712899999999,3.78418,-5.065919,-0.05889893,2.746582,-2.929688,0.07537841,4.211427,-3.479005,0.263061585,riding
109,0.015259,-0.01831,8.973499999999968e-05,0.075806,-0.06665,0.00341124,0.0593259999999999,-0.0510249999999999,-0.00085513,3.78418,-5.065919,0.016174285,2.136232,-2.929688,-0.133361795,4.760743,-5.1269540000000005,-0.14678958,riding
110,0.011352,-0.0130609999999999,-0.00056032,0.076172,-0.092285,0.0001574699999999,0.036499,-0.023316,0.0013049099999999,3.540039,-3.051758,-0.0753784399999999,1.464844,-1.159668,0.1791381799999999,5.249023,-5.1269540000000005,-0.01251227,riding
111,0.011963,-0.009766,0.0001482849999999,0.084961,-0.092285,0.002443235,0.0286859999999999,-0.0308839999999999,-0.001026,3.540039,-3.356934,-0.032043485,1.464844,-1.159668,-0.0012207399999999,5.249023,-5.1269540000000005,-0.0347900949999999,riding
112,0.011963,-0.009888,0.0004638799999999,0.084961,-0.092285,0.0003619599999999,0.0286859999999999,-0.0308839999999999,-0.00135375,3.540039,-3.356934,-0.0680542049999999,1.464844,-1.159668,0.020751985,5.249023,-5.1269540000000005,-0.0344849,riding
113,0.011963,-0.009888,0.0005865449999999,0.091552,-0.092285,-0.00050537,0.0286859999999999,-0.0308839999999999,-0.0014959499999999,2.929688,-3.356934,-0.0598144349999999,1.464844,-1.037598,0.115051285,5.249023,-4.943849,-0.0604247949999999,riding
114,0.0123289999999999,-0.009888,0.00123048,0.091552,-0.084107,0.000448005,0.0231929999999999,-0.0308839999999999,-0.003454595,2.929688,-3.356934,-0.015869125,1.098633,-1.2817390000000002,-0.134887675,4.943848,-4.943849,-0.0198363849999999,riding
